1         |1     |2  |300000.0   |
2         |1     |1  |150000.0   |
2         |2     |1  |50000.0    |
3         |1     |2  |300000.0   |
4         |2     |5  |250000.0   |
4         |2     |3  |150000.0   |
5         |4     |1  |165000.0   |
5         |2     |6  |300000.0   |
6         |3     |2  |1998000.2  |
6         |1     |3  |450000.0   |
7         |4     |1  |165000.0   |
7         |3     |4  |3996000.4  |
8         |2     |1  |50000.0    |
8         |4     |2  |330000.0   |
8         |2     |1  |50000.0    |
9         |2     |1  |50000.0    |
9         |1     |3  |450000.0   |
9         |3     |1  |999000.1   |
10        |2     |2  |100000.0   |
10        |4     |1  |165000.0   |
